rating,price_level,name,Corresponding Airbnb Coords
4.9,2.0,One More Charm,"40.67127, -73.99006"
4.5,2.0,Cheryl's Global Soul,"40.67127, -73.99006"
4.5,2.0,Walter's,"40.67127, -73.99006"
4.2,2.0,The Soul Spot,"40.67127, -73.99006"
4.3,2.0,No. 7,"40.67127, -73.99006"
4.7,2.0,Krok,"40.67127, -73.99006"
4.3,2.0,Mitchell's Soul Food,"40.67127, -73.99006"
4.4,2.0,Awash,"40.67127, -73.99006"
4.4,2.0,SkyIce Thai Food & Ice Cream,"40.67127, -73.99006"
4.6,3.0,Olmsted,"40.67127, -73.99006"
4.6,2.0,Korzo,"40.67127, -73.99006"
